Folder,Base,Mixed,BaseValue,MixedValue,Difference
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+LHS,100,100,0
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+K-Means,100,100,0
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+Farthest,100,89,-11
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+ODAL,100,90,-10
10275_results,Centroids_saturation_medium,Centroids_saturation_medium+K-Center,100,50,-50
10275_results,Centroids_saturation_low,Centroids_saturation_low+Top5Similarity,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+Max Comp,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+Min Comp,86,94,8
10275_results,Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_high,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+Centroids_saturation_medium,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+Random,86,94,8
10275_results,Centroids_saturation_low,Centroids_saturation_low+LHS,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+K-Means,86,100,14
10275_results,Centroids_saturation_low,Centroids_saturation_low+Farthest,86,92,6
10275_results,Centroids_saturation_low,Centroids_saturation_low+ODAL,86,89,3
10275_results,Centroids_saturation_low,Centroids_saturation_low+K-Center,86,47,-39
10275_results,Random,Random+Top5Similarity,100,100,0
10275_results,Random,Random+Max Comp,100,76,-24
10275_results,Random,Random+Min Comp,100,100,0
10275_results,Random,Random+Centroids_saturation_high,100,100,0
10275_results,Random,Random+Centroids_saturation_medium,100,63,-37
10275_results,Random,Random+Centroids_saturation_low,100,94,-6
10275_results,Random,Random+LHS,100,100,0
10275_results,Random,Random+K-Means,100,100,0
10275_results,Random,Random+Farthest,100,62,-38
10275_results,Random,Random+ODAL,100,100,0
10275_results,Random,Random+K-Center,100,100,0
10275_results,LHS,LHS+Top5Similarity,100,100,0
10275_results,LHS,LHS+Max Comp,100,64,-36
10275_results,LHS,LHS+Min Comp,100,100,0
10275_results,LHS,LHS+Centroids_saturation_high,100,100,0
10275_results,LHS,LHS+Centroids_saturation_medium,100,100,0
10275_results,LHS,LHS+Centroids_saturation_low,100,100,0
10275_results,LHS,LHS+Random,100,100,0
10275_results,LHS,LHS+K-Means,100,100,0
10275_results,LHS,LHS+Farthest,100,66,-34
10275_results,LHS,LHS+ODAL,100,100,0
10275_results,LHS,LHS+K-Center,100,89,-11
10275_results,K-Means,K-Means+Top5Similarity,100,83,-17
10275_results,K-Means,K-Means+Max Comp,100,73,-27
10275_results,K-Means,K-Means+Min Comp,100,100,0
10275_results,K-Means,K-Means+Centroids_saturation_high,100,100,0
10275_results,K-Means,K-Means+Centroids_saturation_medium,100,100,0
10275_results,K-Means,K-Means+Centroids_saturation_low,100,100,0
10275_results,K-Means,K-Means+Random,100,100,0
10275_results,K-Means,K-Means+LHS,100,100,0
10275_results,K-Means,K-Means+Farthest,100,46,-54
10275_results,K-Means,K-Means+ODAL,100,100,0
10275_results,K-Means,K-Means+K-Center,100,100,0
10275_results,Farthest,Farthest+Top5Similarity,94,100,6
10275_results,Farthest,Farthest+Max Comp,94,94,0
10275_results,Farthest,Farthest+Min Comp,94,100,6
10275_results,Farthest,Farthest+Centroids_saturation_high,94,100,6
10275_results,Farthest,Farthest+Centroids_saturation_medium,94,89,-5
10275_results,Farthest,Farthest+Centroids_saturation_low,94,92,-2
10275_results,Farthest,Farthest+Random,94,62,-32
10275_results,Farthest,Farthest+LHS,94,66,-28
10275_results,Farthest,Farthest+K-Means,94,46,-48
10275_results,Farthest,Farthest+ODAL,94,92,-2
10275_results,Farthest,Farthest+K-Center,94,93,-1
10275_results,ODAL,ODAL+Top5Similarity,100,92,-8
10275_results,ODAL,ODAL+Max Comp,100,100,0
10275_results,ODAL,ODAL+Min Comp,100,100,0
10275_results,ODAL,ODAL+Centroids_saturation_high,100,100,0
10275_results,ODAL,ODAL+Centroids_saturation_medium,100,90,-10
10275_results,ODAL,ODAL+Centroids_saturation_low,100,89,-11
10275_results,ODAL,ODAL+Random,100,100,0
10275_results,ODAL,ODAL+LHS,100,100,0
10275_results,ODAL,ODAL+K-Means,100,100,0
10275_results,ODAL,ODAL+Farthest,100,92,-8
10275_results,ODAL,ODAL+K-Center,100,49,-51
10275_results,K-Center,K-Center+Top5Similarity,100,100,0
10275_results,K-Center,K-Center+Max Comp,100,99,-1
10275_results,K-Center,K-Center+Min Comp,100,83,-17
10275_results,K-Center,K-Center+Centroids_saturation_high,100,51,-49
10275_results,K-Center,K-Center+Centroids_saturation_medium,100,50,-50
10275_results,K-Center,K-Center+Centroids_saturation_low,100,47,-53
10275_results,K-Center,K-Center+Random,100,100,0
10275_results,K-Center,K-Center+LHS,100,89,-11
10275_results,K-Center,K-Center+K-Means,100,100,0
10275_results,K-Center,K-Center+Farthest,100,93,-7
10275_results,K-Center,K-Center+ODAL,100,49,-51
10304_results,Top5Similarity,Top5Similarity+Max Comp,100,100,0
10304_results,Top5Similarity,Top5Similarity+Min Comp,100,75,-25
10304_results,Top5Similarity,Top5Similarity+Centroids_saturation_high,100,100,0
10304_results,Top5Similarity,Top5Similarity+Centroids_saturation_medium,100,100,0
10304_results,Top5Similarity,Top5Similarity+Centroids_saturation_low,100,100,0
10304_results,Top5Similarity,Top5Similarity+Random,100,73,-27
10304_results,Top5Similarity,Top5Similarity+LHS,100,67,-33
