ID,x,y,Au,Cu,Pd,Pt,Resistance
42,-27000.0,-27000.0,0.4877,0.0969,0.24670000000000003,0.16870000000000002,0.8689472066666667
43,-22500.0,-27000.0,0.4528452845284528,0.0959095909590959,0.2826282628262826,0.1686168616861686,0.8828947800000001
44,-18000.0,-27000.0,0.42579999999999996,0.1082,0.3031,0.1629,0.89577264
45,-13500.0,-27000.0,0.40759999999999996,0.114,0.3146,0.1638,0.9064552266666668
46,-9000.0,-27000.0,0.3801,0.114,0.3443,0.1616,0.9164510833333334
47,-4500.0,-27000.0,0.3456,0.1277,0.3746,0.1521,0.9238106
48,0.0,-27000.0,0.3251,0.1287,0.3929,0.15330000000000002,0.9281166533333334
49,4500.0,-27000.0,0.303,0.1356,0.4114,0.15,0.9304663466666666
50,9000.0,-27000.0,0.2746,0.1425,0.445,0.1379,0.9315826433333334
51,13500.0,-27000.0,0.24942494249424946,0.14291429142914291,0.4693469346934694,0.13831383138313832,0.9292194333333332
52,18000.0,-27000.0,0.2227,0.1518,0.4951,0.1304,0.9225079033333332
53,22500.0,-27000.0,0.2076207620762076,0.1554155415541554,0.5173517351735173,0.11961196119611961,0.9142485833333333
54,27000.0,-27000.0,0.1808,0.1606,0.5361,0.1225,0.90496627
55,31500.0,-27000.0,0.16711671167116712,0.16121612161216123,0.5606560656065607,0.11101110111011102,0.8937836566666667
56,36000.0,-27000.0,0.14859999999999998,0.1726,0.5747,0.1041,0.8885667233333333
57,-40500.0,-22500.0,0.5248999999999999,0.0749,0.20099999999999998,0.1992,0.8829571466666667
58,-36000.0,-22500.0,0.5052,0.08800000000000001,0.2122,0.1946,0.8909447833333334
59,-31500.0,-22500.0,0.48949999999999994,0.09169999999999999,0.22399999999999995,0.19479999999999997,0.9014622233333331
60,-27000.0,-22500.0,0.45620000000000005,0.10140000000000002,0.24970000000000003,0.1927,0.9120683233333332
61,-22500.0,-22500.0,0.4384,0.0933,0.2749,0.1934,0.92177551
62,-18000.0,-22500.0,0.40490000000000004,0.1096,0.2949,0.1906,0.93069877
63,-13500.0,-22500.0,0.37670000000000003,0.12140000000000001,0.3187,0.1832,0.93836726
64,-9000.0,-22500.0,0.36053605360536045,0.1204120412041204,0.33813381338133813,0.1809180918091809,0.9444839666666668
65,-4500.0,-22500.0,0.3340665933406659,0.12748725127487254,0.363063693630637,0.17538246175382463,0.9483862333333334
66,0.0,-22500.0,0.3038,0.14029999999999998,0.3859,0.17,0.94994882
