ID,x,y,Ag,Au,Pd,Resistance
64,-9000,-22500,0.49079999999999996,0.24789999999999998,0.2613,0.3346656799999999
65,-4500,-22500,0.44835516448355167,0.26907309269073093,0.28257174282571745,0.35293062
66,0,-22500,0.41609999999999997,0.2812,0.30269999999999997,0.36615407
67,4500,-22500,0.36810000000000004,0.312,0.31989999999999996,0.3742631333333333
68,9000,-22500,0.3353,0.3251,0.3396,0.37768899
69,13500,-22500,0.3065,0.33740000000000003,0.35609999999999997,0.3769495333333333
70,18000,-22500,0.275,0.35369999999999996,0.3713,0.3737115199999999
71,22500,-22500,0.2443244324432443,0.36813681368136814,0.3875387538753875,0.3693408766666666
72,27000,-22500,0.21710000000000002,0.38130000000000003,0.40159999999999996,0.3646269866666667
73,31500,-22500,0.1905,0.3922,0.41729999999999995,0.3597705466666667
74,36000,-22500,0.1824182418241824,0.39633963396339633,0.4212421242124212,0.3553455866666667
75,40500,-22500,0.15621562156215618,0.40604060406040604,0.4377437743774377,0.36035596
76,-40500,-18000,0.7568243175682432,0.10848915108489152,0.13468653134686534,0.1627137166666666
77,-36000,-18000,0.7262000000000001,0.12279999999999999,0.151,0.18169756
78,-31500,-18000,0.6973999999999999,0.13720000000000002,0.1654,0.20328076
79,-27000,-18000,0.6544,0.1564,0.1892,0.2269369933333333
80,-22500,-18000,0.6169,0.17300000000000001,0.2101,0.2525930566666666
81,-18000,-18000,0.5768,0.19690000000000002,0.2263,0.2787168433333333
82,-13500,-18000,0.5447455254474552,0.20997900209979004,0.24527547245275474,0.30345802
83,-9000,-18000,0.502,0.23420000000000002,0.2638,0.3260833533333333
84,-4500,-18000,0.4577542245775422,0.2572742725727427,0.284971502849715,0.34493838
85,0,-18000,0.42005799420058,0.27317268273172685,0.3067693230676933,0.35951095
86,4500,-18000,0.38420000000000004,0.2913,0.3245,0.3689616566666666
87,9000,-18000,0.3396,0.3105,0.34990000000000004,0.37388008
88,13500,-18000,0.3114,0.3264,0.36219999999999997,0.3744129733333333
89,18000,-18000,0.2735,0.3394,0.3871,0.3728702366666667
90,22500,-18000,0.24719999999999998,0.3471,0.4057,0.3702475833333333
91,27000,-18000,0.221022102210221,0.3659365936593659,0.41304130413041296,0.36680094
92,31500,-18000,0.1985,0.3721,0.4294,0.3635967633333333
93,36000,-18000,0.18461846184618463,0.38233823382338233,0.43304330433043303,0.3601107066666666
94,40500,-18000,0.16010000000000002,0.3922,0.44770000000000004,0.3585240533333333
95,-45000,-13500,0.7845,0.0902,0.1253,0.13986161
96,-40500,-13500,0.7569,0.10550000000000001,0.1376,0.15542796
97,-36000,-13500,0.7231276872312768,0.11728827117288272,0.15958404159584044,0.1742893966666666
98,-31500,-13500,0.6968000000000001,0.1332,0.17,0.1955265633333333
99,-27000,-13500,0.6657000000000001,0.15050000000000002,0.18380000000000002,0.2191055766666666
100,-22500,-13500,0.6220622062206221,0.1674167416741674,0.21052105210521055,0.2441993833333333
101,-18000,-13500,0.5847584758475848,0.18551855185518554,0.2297229722972297,0.27050158
102,-13500,-13500,0.5448,0.20670000000000002,0.24850000000000003,0.29539481
103,-9000,-13500,0.5021,0.22519999999999998,0.2727,0.3184272566666666
104,-4500,-13500,0.4587,0.2491,0.2922,0.3382548999999999
105,0,-13500,0.4233,0.2608,0.3159,0.3538087433333333
106,4500,-13500,0.3843,0.2808,0.33490000000000003,0.36448479
107,9000,-13500,0.34299999999999997,0.2978,0.3592,0.3706554233333333
108,13500,-13500,0.3122,0.315,0.3728,0.3729730699999999
109,18000,-13500,0.273,0.324,0.40299999999999997,0.3732798633333333
110,22500,-13500,0.24789999999999998,0.33740000000000003,0.4147,0.3719090233333333
111,27000,-13500,0.2213,0.3489,0.42979999999999996,0.3697892033333333
112,31500,-13500,0.1984,0.3558,0.4458,0.3674849166666666
113,36000,-13500,0.184,0.3627,0.4533,0.3650975866666667
114,40500,-13500,0.1591,0.3718,0.46909999999999996,0.3632510233333333
115,45000,-13500,0.1402,0.37450000000000006,0.4853,0.38177327
116,-45000,-9000,0.7857999999999999,0.0859,0.1283,0.1339469733333333
117,-40500,-9000,0.7556999999999999,0.1025,0.1418,0.1496387433333333
118,-36000,-9000,0.7286271372862715,0.11038896110388961,0.16098390160983905,0.16825626
119,-31500,-9000,0.6964,0.1252,0.1784,0.1889903799999999
120,-27000,-9000,0.6592,0.1425,0.19829999999999998,0.21248198
121,-22500,-9000,0.6275,0.15460000000000002,0.21789999999999998,0.23772763
122,-18000,-9000,0.5878587858785879,0.17521752175217523,0.23692369236923694,0.2638340633333333
123,-13500,-9000,0.5468999999999999,0.19210000000000002,0.261,0.28882969
124,-9000,-9000,0.4962,0.21489999999999998,0.2889,0.31266422
125,-4500,-9000,0.46590000000000004,0.2328,0.3013,0.3334429433333333
126,0,-9000,0.4191,0.251,0.3299,0.3500644633333333
127,4500,-9000,0.38159999999999994,0.2661,0.35229999999999995,0.3618333166666667
128,9000,-9000,0.34743474347434744,0.2818281828182818,0.3707370737073707,0.3692442633333333
129,13500,-9000,0.31010000000000004,0.2988,0.3911,0.3732034966666667
130,18000,-9000,0.2782278227822782,0.31003100310031,0.41174117411741173,0.37479204
131,22500,-9000,0.2501,0.322,0.4279,0.3753758066666667
132,27000,-9000,0.2206,0.3358,0.4436,0.3742138
133,31500,-9000,0.19798020197980204,0.3404659534046595,0.46155384461553844,0.3723344133333333
134,36000,-9000,0.1821,0.3464,0.4715,0.3703832533333333
135,40500,-9000,0.15710000000000002,0.3579,0.485,0.3690989333333333
136,45000,-9000,0.15118488151184883,0.3562643735626438,0.4925507449255075,0.3739343599999999
137,-45000,-4500,0.7885211478852115,0.08299170082991703,0.1284871512848715,0.12938119
138,-40500,-4500,0.7602,0.095,0.1448,0.1448756666666666
139,-36000,-4500,0.7304999999999999,0.1042,0.1653,0.1631662933333333
140,-31500,-4500,0.6942,0.1222,0.18359999999999999,0.1835146333333333
141,-27000,-4500,0.6635663566356635,0.13661366136613662,0.19981998199819984,0.2068622633333333
142,-22500,-4500,0.63,0.1491,0.22089999999999999,0.2323525566666666
143,-18000,-4500,0.5864586458645865,0.16611661166116612,0.24742474247424742,0.25834891
144,-13500,-4500,0.5497,0.1855,0.2648,0.28400734
145,-9000,-4500,0.5062,0.20350000000000001,0.2903,0.3083033233333333
146,-4500,-4500,0.4698,0.21989999999999998,0.3103,0.3302662033333333
147,0,-4500,0.4217,0.2377,0.3406,0.3480587966666666
148,4500,-4500,0.38270000000000004,0.2551,0.36219999999999997,0.3608145399999999
149,9000,-4500,0.34490000000000004,0.26940000000000003,0.3857,0.36950128
150,13500,-4500,0.3104310431043104,0.2836283628362836,0.4059405940594059,0.37513824
151,18000,-4500,0.2787,0.2942,0.42710000000000004,0.3783545966666667
152,22500,-4500,0.2469,0.3079,0.44520000000000004,0.3797423133333333
153,27000,-4500,0.2234,0.31829999999999997,0.4583,0.37943812
154,31500,-4500,0.203,0.3239,0.4731,0.3781167033333333
155,36000,-4500,0.1729172917291729,0.3318331833183318,0.49524952495249525,0.3771781133333333
156,40500,-4500,0.16210000000000002,0.3397,0.4982,0.3755283333333333
157,45000,-4500,0.1445,0.3439,0.5115999999999999,0.37817732
158,-45000,0,0.7929,0.0786,0.1285,0.1212430033333333
159,-40500,0,0.7641,0.09,0.1459,0.14100404
160,-36000,0,0.7341,0.10300000000000001,0.1629,0.1591309466666666
161,-31500,0,0.7028,0.1155,0.18170000000000003,0.1796433533333333
162,-27000,0,0.665,0.1263,0.2087,0.2029393233333333
163,-22500,0,0.6318631863186319,0.14341434143414342,0.22472247224722472,0.2284723833333333
164,-18000,0,0.5886,0.15990000000000001,0.2515,0.25469089
165,-13500,0,0.5439,0.1777,0.2784,0.2806885566666667
166,-9000,0,0.51014898510149,0.19358064193580643,0.29627037296270375,0.3058686866666666
167,-4500,0,0.46635336466353355,0.2084791520847915,0.3251674832516748,0.3287455133333333
168,0,0,0.42635736426357357,0.2284771522847715,0.3451654834516548,0.34751623
169,4500,0,0.3861,0.2395,0.37439999999999996,0.3619842866666667
170,9000,0,0.34049999999999997,0.2605,0.39899999999999997,0.3722036566666666
171,13500,0,0.31579999999999997,0.2706,0.41359999999999997,0.3791220866666666
172,18000,0,0.2763723627637236,0.2858714128587141,0.43775622437756223,0.38332723
173,22500,0,0.2493,0.2963,0.45439999999999997,0.38558594
174,27000,0,0.21989999999999998,0.303,0.4771,0.38612276
175,31500,0,0.1956,0.3128,0.4916,0.3853177066666667
176,36000,0,0.1795,0.3153,0.5052,0.38399676
177,40500,0,0.1641,0.32539999999999997,0.5105,0.3826269933333333
178,45000,0,0.1434,0.3329,0.5236999999999999,0.38388547
179,-45000,4500,0.7963796379637964,0.07440744074407442,0.12921292129212922,0.1228757499999999
180,-40500,4500,0.7615000000000001,0.0855,0.153,0.1380816666666666
181,-36000,4500,0.7298,0.0974,0.1728,0.1559369099999999
182,-31500,4500,0.7020000000000001,0.1076,0.19039999999999999,0.17637287
183,-27000,4500,0.6678000000000001,0.1208,0.2114,0.19999698
184,-22500,4500,0.6247,0.1364,0.2389,0.2256582833333333
185,-18000,4500,0.59,0.1491,0.2609,0.25213629
186,-13500,4500,0.5529999999999999,0.16620000000000001,0.2808,0.2789309466666667
187,-9000,4500,0.5083,0.1826,0.3091,0.3051427066666666
188,-4500,4500,0.46625337466253375,0.19938006199380062,0.3343665633436656,0.32901118
189,0,4500,0.424042404240424,0.21492149214921488,0.36103610361036104,0.3493593433333333
190,4500,4500,0.3828617138286171,0.22907709229077092,0.38806119388061194,0.3646390733333333
191,9000,4500,0.34903490349034905,0.24262426242624266,0.4083408340834083,0.3762943766666666
192,13500,4500,0.3105,0.2552,0.4343,0.3848093266666667
193,18000,4500,0.2852,0.2669,0.44789999999999996,0.3896800833333333
194,22500,4500,0.2482,0.2808,0.47100000000000003,0.39236279
195,27000,4500,0.2275,0.287,0.4855,0.3933097033333333
196,31500,4500,0.19551955195519552,0.2994299429942994,0.505050505050505,0.3922245033333333
197,36000,4500,0.17550000000000002,0.3042,0.5203,0.39101933
198,40500,4500,0.1607,0.3071,0.5322,0.3891483933333333
199,45000,4500,0.1402859714028597,0.31596840315968405,0.5437456254374563,0.3907023966666667
200,-45000,9000,0.7902790279027901,0.0732073207320732,0.13651365136513652,0.12110858
201,-40500,9000,0.7676232376762324,0.07989201079892012,0.15248475152484753,0.1361404566666667
202,-36000,9000,0.7335,0.09160000000000001,0.1749,0.1541278733333333
203,-31500,9000,0.7036296370362963,0.10258974102589741,0.1937806219378062,0.17492592
204,-27000,9000,0.6722,0.1139,0.2139,0.1983528866666666
205,-22500,9000,0.631,0.1295,0.2395,0.2242822533333333
206,-18000,9000,0.5939593959395939,0.1442144214421442,0.2618261826182618,0.25106943
207,-13500,9000,0.5525,0.1568,0.2907,0.2789737466666667
208,-9000,9000,0.5064506450645064,0.1748174817481748,0.3187318731873187,0.30602515
209,-4500,9000,0.46230000000000004,0.1897,0.34800000000000003,0.33114938
210,0,9000,0.4225,0.2002,0.37729999999999997,0.3524854533333333
211,4500,9000,0.3799,0.2187,0.4014,0.3694311833333333
212,9000,9000,0.34509999999999996,0.2321,0.4228,0.38263171
213,13500,9000,0.3169316931693169,0.24572457245724572,0.43734373437343727,0.3921410666666666
214,18000,9000,0.2765276527652765,0.25472547254725475,0.46874687468746873,0.3985967733333334
215,22500,9000,0.24767523247675235,0.26977302269773024,0.4825517448255175,0.4015093633333333
216,27000,9000,0.22460000000000002,0.2746,0.5008,0.4023208266666666
217,31500,9000,0.1953,0.2841,0.5206000000000001,0.4008513533333333
218,36000,9000,0.17658234176582344,0.2910708929107089,0.5323467653234677,0.3990249333333333
219,40500,9000,0.16079999999999997,0.2963,0.5428999999999999,0.39670257
220,45000,9000,0.1409140914091409,0.30263026302630264,0.5564556455645564,0.4003570066666667
221,-45000,13500,0.7903,0.0677,0.142,0.1200720866666666
222,-40500,13500,0.763,0.07980000000000001,0.1572,0.1348128233333333
223,-36000,13500,0.7348,0.0877,0.1775,0.15291943
224,-31500,13500,0.7015,0.09820000000000001,0.2003,0.17387255
225,-27000,13500,0.6647335266473353,0.1078892110788921,0.22737726227377258,0.1978135966666666
226,-22500,13500,0.6293,0.1225,0.2482,0.2242822833333333
227,-18000,13500,0.5958,0.1341,0.2701,0.25164517
228,-13500,13500,0.5553,0.1506,0.29410000000000003,0.28038733
229,-9000,13500,0.5023,0.16699999999999998,0.3307,0.3085552666666666
230,-4500,13500,0.4641464146414641,0.1774177417741774,0.3584358435843585,0.3349524
231,0,13500,0.4199,0.1941,0.386,0.35747796
232,4500,13500,0.3815618438156184,0.20927907209279073,0.4091590840915909,0.37587072
233,9000,13500,0.34783478347834784,0.21762176217621762,0.4345434543454345,0.3903876066666666
234,13500,13500,0.3131313131313131,0.2286228622862286,0.4582458245824582,0.4007340366666667
235,18000,13500,0.2779,0.2443,0.4778,0.4077461333333333
236,22500,13500,0.24760000000000001,0.25170000000000003,0.5007,0.4106984366666666
237,27000,13500,0.2211,0.263,0.5159,0.4111343666666666
238,31500,13500,0.20149999999999998,0.2705,0.528,0.40945503
239,36000,13500,0.17391739173917392,0.27852785278527853,0.5475547554755475,0.4066153633333333
240,40500,13500,0.16010000000000002,0.2851,0.5548,0.4037984366666666
241,45000,13500,0.1413,0.2876,0.5710999999999999,0.4191227466666666
242,-40500,18000,0.7597,0.0745,0.16579999999999998,0.1344744666666666
243,-36000,18000,0.7334,0.0825,0.1841,0.1525994766666666
244,-31500,18000,0.7018701870187019,0.0951095109510951,0.20302030203020302,0.17388683
245,-27000,18000,0.6667000000000001,0.1045,0.2288,0.1982293133333333
246,-22500,18000,0.6269,0.1175,0.2556,0.2250835833333333
247,-18000,18000,0.5905,0.12960000000000002,0.27990000000000004,0.2531985366666667
248,-13500,18000,0.5457,0.1411,0.3132,0.2829233566666666
249,-9000,18000,0.5063506350635063,0.1566156615661566,0.33703370337033706,0.31259691
250,-4500,18000,0.4672,0.1704,0.3624,0.3401174133333333
251,0,18000,0.42494249424942493,0.1823182318231823,0.3927392739273927,0.36409842
252,4500,18000,0.384,0.19519999999999998,0.4208,0.38393667
253,9000,18000,0.3467,0.2078,0.44549999999999995,0.3997706233333333
254,13500,18000,0.3074,0.221,0.47159999999999996,0.4113733533333333
255,18000,18000,0.2709,0.2322,0.49689999999999995,0.41832547
256,22500,18000,0.2521,0.2415,0.5064,0.4210045033333333
257,27000,18000,0.21862186218621862,0.25022502250225026,0.5311531153115312,0.42143969
258,31500,18000,0.1996,0.2594,0.541,0.41857861
259,36000,18000,0.1743,0.2663,0.5594,0.4150062566666667
260,40500,18000,0.1623,0.2676,0.5700999999999999,0.4127148766666667
261,-40500,22500,0.765,0.0721,0.1629,0.1350101266666666
262,-36000,22500,0.7357264273572643,0.07879212078792121,0.18548145185481454,0.15303821
263,-31500,22500,0.6988,0.0897,0.2115,0.1749528766666666
264,-27000,22500,0.662033796620338,0.10078992100789921,0.23717628237176283,0.1998662933333333
265,-22500,22500,0.6343,0.10859999999999999,0.2571,0.2272951366666666
266,-18000,22500,0.583,0.1241,0.2929,0.2564333433333333
267,-13500,22500,0.5494549454945494,0.1323132313231323,0.3182318231823182,0.2876145066666666
268,-9000,22500,0.5032,0.1441,0.3527,0.3183696066666667
269,-4500,22500,0.4668,0.1582,0.375,0.3473960566666667
270,0,22500,0.4265426542654265,0.1707170717071707,0.40274027402740276,0.3728941266666667
271,4500,22500,0.38336166383361664,0.18598140185981402,0.4306569343065693,0.39431657
272,9000,22500,0.34826517348265174,0.19568043195680435,0.456054394560544,0.4112874866666666
273,13500,22500,0.3143314331433143,0.2071207120712071,0.4785478547854785,0.4233809233333333
274,18000,22500,0.2763276327632763,0.22112211221122113,0.5025502550255025,0.4305030266666667
275,22500,22500,0.2488,0.228,0.5232,0.43315587
276,27000,22500,0.22057794220577942,0.23477652234776525,0.5446455354464554,0.4320873699999999
277,31500,22500,0.20052005200520054,0.2433243324332433,0.5561556155615561,0.42914632
278,36000,22500,0.1764,0.2523,0.5713,0.4247611666666666
279,40500,22500,0.1607,0.255,0.5843,0.42716153
280,-36000,27000,0.7351000000000001,0.0766,0.1883,0.1552669966666666
281,-31500,27000,0.6982698269826983,0.08570857085708573,0.21602160216021607,0.1770107333333333
282,-27000,27000,0.6624,0.0933,0.2443,0.2023816966666666
283,-22500,27000,0.6256374362563744,0.10638936106389361,0.267973202679732,0.2304044099999999
284,-18000,27000,0.5856414358564144,0.11298870112988701,0.3013698630136986,0.2610329266666666
285,-13500,27000,0.5468999999999999,0.1268,0.32630000000000003,0.2933302966666666
286,-9000,27000,0.5081,0.1392,0.3527,0.3256298966666666
287,-4500,27000,0.4595,0.1495,0.391,0.3557917733333333
288,0,27000,0.42460000000000003,0.1616,0.4138,0.38293024
289,4500,27000,0.37689999999999996,0.1744,0.4487,0.4060041933333334
290,9000,27000,0.3457,0.1844,0.46990000000000004,0.4240431733333333
291,13500,27000,0.3097309730973097,0.1968196819681968,0.49344934493449344,0.4368837466666667
292,18000,27000,0.2810718928107189,0.2055794420557944,0.5133486651334866,0.44328963
293,22500,27000,0.2539,0.21489999999999998,0.5312,0.4455721266666667
294,27000,27000,0.222,0.2236,0.5544,0.44328883
295,31500,27000,0.20077992200779923,0.22857714228577145,0.5706429357064294,0.43948644
296,36000,27000,0.1797,0.23879999999999998,0.5815,0.4365780633333333
297,-31500,31500,0.6953,0.0793,0.2254,0.1801363466666666
298,-27000,31500,0.6653,0.0904,0.2443,0.2059607366666666
299,-22500,31500,0.6225999999999999,0.0999,0.2775,0.2350544
300,-18000,31500,0.583,0.1076,0.3094,0.26672833
301,-13500,31500,0.5431456854314569,0.11868813118688132,0.3381661833816619,0.3004499466666666
302,-9000,31500,0.5036999999999999,0.1316,0.36469999999999997,0.3343863366666667
303,-4500,31500,0.4582,0.1426,0.3992,0.3663316566666666
304,0,31500,0.41515848415158485,0.1542845715428457,0.43055694430556946,0.3948863466666666
305,4500,31500,0.38380000000000003,0.1641,0.4521,0.41933792
306,9000,31500,0.3439,0.1744,0.4817,0.43785105
307,13500,31500,0.31396860313968605,0.18468153184681532,0.5013498650134987,0.4504199699999999
308,18000,31500,0.27872787278727873,0.19241924192419238,0.5288528852885288,0.4570237466666667
309,22500,31500,0.2491,0.20120000000000002,0.5497,0.4577088633333333
310,27000,31500,0.21962196219621966,0.21092109210921092,0.5694569456945695,0.4545083033333333
311,31500,31500,0.20120000000000002,0.222,0.5768,0.4532166033333333
312,-27000,36000,0.6561,0.0868,0.2571,0.2112626666666666
313,-22500,36000,0.6163000000000001,0.09630000000000001,0.2874,0.24099721
314,-18000,36000,0.57995799579958,0.10491049104910491,0.3151315131513151,0.27415459
315,-13500,36000,0.541,0.1119,0.3471,0.30927577
316,-9000,36000,0.4966,0.1253,0.37810000000000005,0.3446408366666667
317,-4500,36000,0.4587,0.1333,0.408,0.3781271133333333
318,0,36000,0.4177,0.1438,0.4385,0.40863706
319,4500,36000,0.3818,0.1537,0.4645,0.4340898666666666
320,9000,36000,0.34296570342965704,0.16658334166583344,0.4904509549045096,0.4533780833333333
321,13500,36000,0.31120000000000003,0.1723,0.5165,0.4661981033333333
322,18000,36000,0.28147185281471854,0.18138186181381863,0.5371462853714629,0.4720479966666666
323,22500,36000,0.2535,0.19149999999999998,0.555,0.4718194033333333
324,27000,36000,0.21992199219921993,0.19881988198819883,0.5812581258125813,0.46963551
325,-22500,40500,0.6182,0.08929999999999999,0.2925,0.2501996166666667
326,-18000,40500,0.5783578357835784,0.09880988098809883,0.32283228322832286,0.2838675533333333
327,-13500,40500,0.5353,0.10800000000000001,0.3567,0.32030482
328,-9000,40500,0.4968,0.1189,0.3843,0.3573834733333333
329,-4500,40500,0.45299999999999996,0.1241,0.4229,0.3924944533333334
330,0,40500,0.4117,0.1348,0.4535,0.4244906166666666
331,4500,40500,0.37373737373737376,0.14711471147114713,0.4791479147914791,0.45105876
332,9000,40500,0.34496550344965504,0.15318468153184683,0.5018498150184981,0.4707255966666667
333,13500,40500,0.30656934306569344,0.16158384161583844,0.5318468153184682,0.4833943833333333
334,18000,40500,0.2783,0.16760000000000003,0.5540999999999999,0.4883837533333333
335,22500,40500,0.2451,0.17980000000000002,0.5751,0.4909684366666667
336,-13500,45000,0.5357,0.1001,0.3642,0.33657684
337,-9000,45000,0.49520000000000003,0.1094,0.3954,0.37384523
338,-4500,45000,0.45539999999999997,0.12029999999999999,0.4243,0.41037143
339,0,45000,0.40619999999999995,0.1274,0.4664,0.4436485899999999
340,4500,45000,0.3768,0.13849999999999998,0.48469999999999996,0.4711431933333333
341,9000,45000,0.33990000000000004,0.14279999999999998,0.5173,0.4918041166666667
342,13500,45000,0.309030903090309,0.15081508150815082,0.5401540154015402,0.5083728266666667
