ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
61,-22500,-22500,0.18591859185918594,0.11531153115311531,0.1077107710771077,0.364936493649365,0.22612261226122612,0.8881962866666666
62,-18000,-22500,0.2064,0.1202,0.10279999999999999,0.3467,0.22390000000000002,0.8900355366666666
63,-13500,-22500,0.2158,0.1325,0.105,0.3225,0.2242,0.8922453733333333
64,-9000,-22500,0.2427,0.1377,0.0955,0.2995,0.22460000000000002,0.89700309
65,-4500,-22500,0.2589,0.1411,0.09630000000000001,0.2701,0.2336,0.9010588333333334
66,0,-22500,0.28047195280471954,0.16028397160283975,0.08799120087991202,0.24997500249975005,0.22127787221277873,0.9041837
67,4500,-22500,0.2931293129312931,0.162016201620162,0.0827082708270827,0.23422342234223423,0.2279227922792279,0.9090276833333332
68,9000,-22500,0.3145,0.1709,0.0795,0.20920000000000002,0.2259,0.9141052433333332
69,13500,-22500,0.3294670532946705,0.1795820417958204,0.0734926507349265,0.1999800019998,0.2174782521747825,0.9191827166666666
70,18000,-22500,0.34656534346565343,0.18408159184081593,0.06829317068293171,0.17978202179782024,0.22127787221277873,0.92363645
71,22500,-22500,0.3603,0.19949999999999998,0.06559999999999999,0.1572,0.21739999999999998,0.92875793
72,27000,-22500,0.37843784378437845,0.2107210721072107,0.061306130613061297,0.1374137413741374,0.2121212121212121,0.9327261666666666
73,31500,-22500,0.3957,0.21359999999999998,0.0538,0.1316,0.2053,0.9357208433333334
74,36000,-22500,0.4115,0.2205,0.0512,0.11630000000000001,0.2005,0.94120655
75,40500,-22500,0.41700000000000004,0.22829999999999998,0.0453,0.1075,0.20190000000000002,0.97578716
76,-40500,-18000,0.13511351135113514,0.10081008100810084,0.12681268126812684,0.4418441844184419,0.19541954195419545,0.88650683
77,-36000,-18000,0.14740000000000003,0.09510000000000002,0.13000000000000003,0.4248,0.20270000000000002,0.8843096666666667
78,-31500,-18000,0.15710000000000002,0.1115,0.1265,0.3983,0.2066,0.8859397933333334
79,-27000,-18000,0.17449999999999996,0.1147,0.12229999999999999,0.3777,0.21079999999999996,0.88922676
80,-22500,-18000,0.1821817818218178,0.1247875212478752,0.12568743125687432,0.3581641835816418,0.20917908209179084,0.8915313166666666
81,-18000,-18000,0.21012101210121015,0.13321332133213323,0.11781178117811782,0.3296329632963297,0.20922092209220924,0.89241266
82,-13500,-18000,0.2234,0.1351,0.11380000000000001,0.3161,0.2116,0.8951074366666667
83,-9000,-18000,0.2355235523552355,0.1509150915091509,0.1132113211321132,0.2875287528752875,0.2128212821282128,0.89869324
84,-4500,-18000,0.25989999999999996,0.15710000000000002,0.1057,0.2636,0.2137,0.9019924333333332
85,0,-18000,0.2742,0.16879999999999998,0.0992,0.24280000000000002,0.215,0.9044034366666666
86,4500,-18000,0.2922,0.175,0.09140000000000001,0.22329999999999997,0.2181,0.9076881366666666
87,9000,-18000,0.31543154315431543,0.18971897189718973,0.09120912091209121,0.19851985198519853,0.20512051205120516,0.91059288
88,13500,-18000,0.32543254325432547,0.19481948194819484,0.08730873087308731,0.1861186118611861,0.20632063206320633,0.9150529566666666
89,18000,-18000,0.3396,0.19690000000000002,0.07980000000000001,0.17489999999999997,0.20879999999999999,0.91844124
90,22500,-18000,0.3624,0.21660000000000001,0.0742,0.1527,0.1941,0.9216782766666668
91,27000,-18000,0.37259999999999993,0.22799999999999998,0.07039999999999999,0.13619999999999996,0.19279999999999997,0.92542129
92,31500,-18000,0.3795620437956205,0.23257674232576747,0.06209379062093791,0.12768723127687232,0.19808019198080193,0.92606206
93,36000,-18000,0.40384038403840383,0.2383238323832383,0.056205620562056205,0.11241124112411241,0.18921892189218922,0.9294818666666668
94,40500,-18000,0.41240000000000004,0.24960000000000002,0.0496,0.1041,0.1843,0.9395080866666666
95,-45000,-13500,0.12311231123112312,0.09430943094309431,0.14731473147314733,0.45014501450145017,0.18511851185118514,0.9005948
96,-40500,-13500,0.1324,0.09799999999999999,0.148,0.4342999999999999,0.18729999999999997,0.8913180533333332
97,-36000,-13500,0.1437143714371437,0.10491049104910491,0.1473147314731473,0.41094109410941093,0.19311931193119308,0.8889302333333333
98,-31500,-13500,0.16028397160283972,0.1152884711528847,0.1442855714428557,0.3917608239176082,0.1883811618838116,0.8903217766666667
99,-27000,-13500,0.17178282171782822,0.12138786121387861,0.1400859914008599,0.37066293370662934,0.1960803919608039,0.8918933366666667
100,-22500,-13500,0.1886188618861886,0.1335133513351335,0.1386138613861386,0.34453445344534456,0.1947194719471947,0.8924487433333332
101,-18000,-13500,0.20097990200979907,0.14238576142385764,0.13688631136886312,0.31536846315368466,0.20437956204379565,0.8939748833333333
102,-13500,-13500,0.22227777222277773,0.14158584141585842,0.12818718128187181,0.3077692230776922,0.20017998200179982,0.8971262333333333
103,-9000,-13500,0.23747625237476253,0.15858414158584141,0.1258874112588741,0.2780721927807219,0.1999800019998,0.89840783
104,-4500,-13500,0.2585,0.1761,0.1159,0.2526,0.19690000000000002,0.9002578566666667
105,0,-13500,0.27010000000000006,0.17770000000000002,0.11410000000000002,0.23790000000000003,0.20020000000000002,0.9031917066666666
106,4500,-13500,0.2880711928807119,0.18618138186181385,0.11038896110388961,0.21567843215678434,0.19968003199680032,0.90498652
107,9000,-13500,0.3106,0.19879999999999998,0.099,0.1973,0.1943,0.9076096966666668
108,13500,-13500,0.32813281328132815,0.21362136213621363,0.09660966096609662,0.17301730173017305,0.18861886188618862,0.9096232266666668
109,18000,-13500,0.33790000000000003,0.22200000000000003,0.08680000000000002,0.16820000000000002,0.18510000000000004,0.9136180666666668
110,22500,-13500,0.3545645435456455,0.23057694230576944,0.08409159084091591,0.14228577142285773,0.18848115188481154,0.914072
111,27000,-13500,0.37360000000000004,0.2383,0.07570000000000002,0.12720000000000004,0.18520000000000003,0.9168679433333332
112,31500,-13500,0.3791,0.25120000000000003,0.0674,0.1217,0.18059999999999998,0.9162652266666668
113,36000,-13500,0.3946,0.2601,0.0654,0.10800000000000001,0.17190000000000003,0.91821131
114,40500,-13500,0.4154415441544155,0.26432643264326433,0.05660566056605661,0.09370937093709371,0.1699169916991699,0.9229717266666668
115,45000,-13500,0.4173582641735826,0.2653734626537346,0.0533946605339466,0.0927907209279072,0.1710828917108289,1.0028058333333332
116,-45000,-9000,0.12418758124187582,0.10098990100989902,0.16128387161283872,0.442055794420558,0.17148285171482852,0.9033963633333334
117,-40500,-9000,0.1359,0.10679999999999999,0.16390000000000002,0.42119999999999996,0.1722,0.89647298
118,-36000,-9000,0.14529999999999998,0.1159,0.16329999999999997,0.397,0.17850000000000002,0.8934678166666666
119,-31500,-9000,0.15748425157484253,0.12568743125687432,0.16018398160183983,0.37786221377862217,0.1787821217878212,0.8932571933333333
120,-27000,-9000,0.16940000000000002,0.1326,0.1607,0.3494,0.18789999999999998,0.8941018566666667
121,-22500,-9000,0.19128087191280874,0.14208579142085795,0.15508449155084492,0.32776722327767227,0.1837816218378162,0.8942086833333334
122,-18000,-9000,0.2022595480903819,0.14587082583483302,0.1482703459308138,0.31263747250549884,0.19096180763847231,0.8946076533333334
123,-13500,-9000,0.2182,0.1586,0.1459,0.2904,0.1869,0.8983382599999999
124,-9000,-9000,0.2356764323567643,0.1678832116788321,0.1444855514448555,0.2614738526147385,0.19048095190480951,0.8969128866666666
