ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
90,22500,-18000,0.11169634,0.217615283,0.169470309,0.360124407,0.103993144,0.589509363
91,27000,-18000,0.098751304,0.189196423,0.174429873,0.368240842,0.092290938,0.598106203
92,31500,-18000,0.088689436,0.165849246,0.182700239,0.360966005,0.087802542,0.607612293
93,36000,-18000,0.08095234,0.133784394,0.186616448,0.368120116,0.0826566,0.617783673
94,40500,-18000,0.07063597,0.129773061,0.180696668,0.36467873,0.074742713,0.690820057
95,-45000,-13500,0.730947534,1.000760382,0.147170644,0.223208811,0.348303858,0.51705462
96,-40500,-13500,0.630455868,0.879552068,0.141081033,0.227052288,0.32624989,0.5153191
97,-36000,-13500,0.552586103,0.79170518,0.126592453,0.223043845,0.313467026,0.51765753
98,-31500,-13500,0.489276386,0.698966266,0.139793253,0.231762499,0.279586506,0.52117782
99,-27000,-13500,0.430528376,0.639836637,0.125925296,0.236535353,0.26716583,0.524767587
100,-22500,-13500,0.37777005,0.564284134,0.148579016,0.241836057,0.246577941,0.52917615
101,-18000,-13500,0.329566855,0.517890772,0.148599341,0.257474105,0.21922081,0.534149403
102,-13500,-13500,0.295714898,0.468445562,0.138184532,0.26255061,0.216949715,0.538989543
103,-9000,-13500,0.269647114,0.422056352,0.140685451,0.269647114,0.199304389,0.545358593
104,-4500,-13500,0.238130309,0.380517504,0.148524574,0.281091962,0.180438945,0.550216473
105,0,-13500,0.202872866,0.329959892,0.165562914,0.293815875,0.17255853,0.55608454
106,4500,-13500,0.177989055,0.296279918,0.170250401,0.299596484,0.162511746,0.562247093
107,9000,-13500,0.158136102,0.274102578,0.160244584,0.314163724,0.147593696,0.568523897
108,13500,-13500,0.138895878,0.23652559,0.175129586,0.319057924,0.136882895,0.574890797
109,18000,-13500,0.125174522,0.217611092,0.17428145,0.321602234,0.124211641,0.581514743
110,22500,-13500,0.11812913,0.185499649,0.169810624,0.337775481,0.111668943,0.58921405
111,27000,-13500,0.099242391,0.154180143,0.184307297,0.339373532,0.108989411,0.597252997
112,31500,-13500,0.093731893,0.155935785,0.17638638,0.333174273,0.092879785,0.6065185
113,36000,-13500,0.078782159,0.134586189,0.174797916,0.343851299,0.088629929,0.615599177
114,40500,-13500,0.069645048,0.115547465,0.179652566,0.349016659,0.077559258,0.62679271
115,45000,-13500,0.064957396,0.106988652,0.181116503,0.34312789,0.068014214,0.682129593
116,-45000,-9000,0.672324479,0.844263199,0.134464896,0.200595172,0.352694809,0.520848173
117,-40500,-9000,0.601636451,0.772100112,0.106289106,0.198540029,0.326889138,0.518293863
118,-36000,-9000,0.522414142,0.689807406,0.12324559,0.202343506,0.301675772,0.520039967
119,-31500,-9000,0.457914285,0.600376507,0.135678307,0.211997354,0.291708359,0.523389243
120,-27000,-9000,0.401498506,0.557988082,0.140682547,0.214975578,0.263977364,0.52684197
121,-22500,-9000,0.359537317,0.500994622,0.138510278,0.219553525,0.254917852,0.531323693
122,-18000,-9000,0.318277427,0.442820768,0.14391675,0.232480903,0.244935237,0.53580284
123,-13500,-9000,0.285844215,0.414474112,0.150717859,0.233872539,0.215682453,0.54087013
124,-9000,-9000,0.258096233,0.367479875,0.149941621,0.250722055,0.202789897,0.545840793
