ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
309,22500,31500,0.079506797,0.065821201,0.187036482,0.145327998,0.174654276,0.58857174
310,27000,31500,0.076657966,0.054484174,0.184992778,0.151415321,0.16598667,0.596440367
311,31500,31500,0.070133993,0.0529081,0.190100033,0.153802616,0.149496143,0.624534967
312,-27000,36000,0.258169211,0.147525264,0.114332079,0.094047356,0.308881021,0.5562014
313,-22500,36000,0.232362201,0.12948428,0.125936766,0.094896013,0.303312492,0.55500097
314,-18000,36000,0.216253033,0.113234856,0.126857094,0.102166787,0.293729513,0.557233967
315,-13500,36000,0.189571126,0.114070937,0.138690564,0.106685049,0.271636549,0.557210843
316,-9000,36000,0.167781251,0.108424677,0.148787147,0.106050414,0.260377508,0.559488907
317,-4500,36000,0.159074918,0.092538775,0.151427086,0.109364006,0.251613693,0.56265387
318,0,36000,0.14047436,0.091678003,0.157479151,0.113858165,0.235109718,0.56581911
319,4500,36000,0.125856324,0.079375295,0.156605312,0.123711045,0.229544772,0.569575053
320,9000,36000,0.109460733,0.072050103,0.169040625,0.127473258,0.214764729,0.573513593
321,13500,36000,0.099365538,0.06512471,0.178589412,0.1255497,0.203430797,0.578141303
322,18000,36000,0.088095378,0.054814902,0.181411223,0.135079579,0.192504715,0.583781123
323,22500,36000,0.077876196,0.056982582,0.183610543,0.134858778,0.180444844,0.59003452
324,27000,36000,0.070836798,0.044965968,0.190335397,0.13982568,0.170008316,0.603074773
325,-22500,40500,0.219001116,0.114187352,0.126969519,0.085214442,0.306771992,0.56233932
326,-18000,40500,0.208449595,0.108328136,0.126382825,0.09273545,0.28477169,0.560260707
327,-13500,40500,0.18440693,0.098930756,0.133754383,0.094973526,0.279380456,0.561085497
328,-9000,40500,0.170294005,0.090110729,0.136693394,0.099274532,0.268041237,0.56284137
329,-4500,40500,0.155153306,0.084226081,0.144809752,0.101219062,0.253417067,0.5658076
330,0,40500,0.138005992,0.074365923,0.153022188,0.107258543,0.242404308,0.568951207
331,4500,40500,0.117778286,0.06443165,0.170432108,0.111542965,0.228628437,0.572699253
332,9000,40500,0.104811943,0.069202757,0.167295986,0.1128744,0.217686344,0.576281897
333,13500,40500,0.093256815,0.0586931,0.172818573,0.116734055,0.210643016,0.581356053
334,18000,40500,0.086742899,0.055084907,0.179184237,0.120933531,0.191847434,0.588151547
335,22500,40500,0.078847836,0.054207887,0.181719622,0.123199744,0.17802363,0.601366023
336,-13500,45000,0.179593584,0.08100817,0.135268359,0.090178906,0.278178997,0.57093266
337,-9000,45000,0.163158633,0.078995356,0.139533854,0.087854649,0.26947014,0.570460793
338,-4500,45000,0.146584579,0.07436486,0.145869533,0.097246355,0.250981402,0.57150768
339,0,45000,0.124696917,0.070661586,0.155871147,0.096986491,0.24454451,0.57438961
340,4500,45000,0.118247783,0.06718624,0.161918839,0.095404461,0.229105079,0.58295312
341,9000,45000,0.101735371,0.058041333,0.163689603,0.10434397,0.224339535,0.58020565
342,13500,45000,0.09186518,0.058286873,0.171059301,0.107070451,0.205271161,0.594733303
