ID,x,y,Ag,Au,Pd,Pt,Resistance
86,4500,-18000,0.20722072207220718,0.3153315331533153,0.3037303730373037,0.17371737173717372,0.72709083
87,9000,-18000,0.1872,0.29900000000000004,0.34110000000000007,0.17270000000000002,0.762887043
88,13500,-18000,0.18361836183618366,0.2761276127612762,0.3673367336733674,0.17291729172917294,0.79162829
89,18000,-18000,0.17561756175617563,0.26062606260626064,0.39803980398039807,0.16571657165716575,0.813365263
90,22500,-18000,0.15971597159715972,0.24582458245824582,0.43334333433343336,0.16111611161116113,0.82496228
91,27000,-18000,0.14548545145485453,0.22577742225777422,0.4681531846815319,0.16058394160583941,0.827535783
92,31500,-18000,0.1447,0.2003,0.5015,0.1535,0.821633137
93,36000,-18000,0.1233,0.1917,0.5364,0.14859999999999998,0.8094398
94,40500,-18000,0.1195,0.1702,0.5646,0.1457,0.79643089
95,-45000,-13500,0.37810000000000005,0.3873,0.0768,0.1578,0.383031657
96,-40500,-13500,0.3590640935906409,0.3836616338366163,0.08469153084691532,0.17258274172582744,0.402111297
97,-36000,-13500,0.35290000000000005,0.3791,0.09630000000000002,0.17170000000000005,0.42657923
98,-31500,-13500,0.3351335133513352,0.3691369136913692,0.12021202120212023,0.17551755175517555,0.45331149
99,-27000,-13500,0.3246,0.37170000000000003,0.1294,0.1743,0.48323093
100,-22500,-13500,0.3017,0.36340000000000006,0.1463,0.1886,0.516587277
101,-18000,-13500,0.28979999999999995,0.3534,0.1682,0.18859999999999996,0.552504217
102,-13500,-13500,0.2773277327732773,0.34523452345234523,0.18871887188718872,0.18871887188718872,0.590686117
103,-9000,-13500,0.2648,0.3337,0.20920000000000002,0.1923,0.631504313
104,-4500,-13500,0.2437,0.32409999999999994,0.2389,0.19329999999999997,0.673349493
105,0,-13500,0.24097590240975905,0.29997000299970006,0.2686731326867314,0.19038096190380963,0.71420966
106,4500,-13500,0.22062206220622058,0.295029502950295,0.29372937293729373,0.1906190619061906,0.753310217
107,9000,-13500,0.1931,0.2791,0.332,0.19579999999999997,0.78788157
108,13500,-13500,0.2054,0.2577,0.353,0.1839,0.81538473
109,18000,-13500,0.17800000000000002,0.2486,0.3884,0.185,0.835690123
110,22500,-13500,0.16711671167116712,0.2271227122712271,0.42574257425742573,0.18001800180018,0.846327777
111,27000,-13500,0.1534,0.20809999999999998,0.4617,0.17679999999999998,0.847392927
112,31500,-13500,0.15249999999999997,0.19419999999999998,0.48349999999999993,0.16979999999999998,0.840626497
113,36000,-13500,0.133,0.17739999999999997,0.5229,0.16670000000000001,0.827622127
114,40500,-13500,0.126,0.1659,0.5518,0.1563,0.81142687
115,45000,-13500,0.1162,0.14730000000000001,0.5908,0.1457,0.829280193
116,-45000,-9000,0.3874612538746125,0.3698630136986301,0.0684931506849315,0.17418258174182583,0.400712113
117,-40500,-9000,0.371,0.3618,0.0832,0.184,0.42266362
118,-36000,-9000,0.36340000000000006,0.3529,0.0984,0.18530000000000002,0.448894497
119,-31500,-9000,0.34020000000000006,0.3565,0.1109,0.1924,0.477505997
120,-27000,-9000,0.3297329732973297,0.34593459345934596,0.12391239123912391,0.20042004200420038,0.509332163
121,-22500,-9000,0.31379999999999997,0.34600000000000003,0.1391,0.2011,0.542666977
122,-18000,-9000,0.3025,0.3356,0.15869999999999998,0.2032,0.579185647
123,-13500,-9000,0.2835283528352835,0.3289328932893289,0.1818181818181818,0.2057205720572057,0.619417653
124,-9000,-9000,0.273,0.3151,0.1985,0.2134,0.65938139
125,-4500,-9000,0.2494249424942494,0.3108310831083108,0.2301230123012301,0.20962096209620962,0.702395937
126,0,-9000,0.2382,0.2878,0.26239999999999997,0.2116,0.7430569
127,4500,-9000,0.2255,0.2785,0.2838,0.2122,0.7811136
128,9000,-9000,0.20800000000000002,0.2619,0.3196,0.21050000000000002,0.81328309
129,13500,-9000,0.195980401959804,0.24297570242975702,0.35166483351664835,0.20937906209379062,0.840167687
130,18000,-9000,0.17821782178217824,0.23112311231123112,0.38373837383738374,0.20692069206920694,0.859222537
131,22500,-9000,0.17381738173817382,0.21102110211021105,0.41904190419041903,0.19611961196119612,0.868368383
132,27000,-9000,0.1563,0.20329999999999998,0.44920000000000004,0.1912,0.86923712
133,31500,-9000,0.1464,0.19079999999999997,0.4808,0.182,0.861182987
134,36000,-9000,0.14131413141314134,0.16301630163016304,0.5217521752175218,0.17391739173917392,0.848614217
135,40500,-9000,0.1202,0.15539999999999998,0.5513,0.17309999999999998,0.83171334
136,45000,-9000,0.1124,0.1433,0.5847,0.15960000000000002,0.823349783
137,-45000,-4500,0.39499999999999996,0.34559999999999996,0.06929999999999999,0.1901,0.420870383
138,-40500,-4500,0.3873,0.34299999999999997,0.07339999999999999,0.1963,0.44544576
139,-36000,-4500,0.36619999999999997,0.33399999999999996,0.0967,0.20309999999999997,0.473589993
140,-31500,-4500,0.35419999999999996,0.3281,0.11149999999999999,0.2062,0.50395364
141,-27000,-4500,0.34566543345665435,0.3325667433256674,0.10978902109789021,0.211978802119788,0.537859607
142,-22500,-4500,0.32659999999999995,0.3144,0.1394,0.21960000000000002,0.57341582
143,-18000,-4500,0.31236876312368766,0.30906909309069097,0.15778422157784222,0.22077792220777923,0.611065783
144,-13500,-4500,0.2956,0.3037,0.17550000000000002,0.22519999999999998,0.64992386
145,-9000,-4500,0.2797,0.2914,0.1981,0.23079999999999998,0.691747897
146,-4500,-4500,0.265,0.2762,0.23,0.2288,0.73313135
147,0,-4500,0.24609999999999999,0.2772,0.25129999999999997,0.2254,0.77257224
148,4500,-4500,0.23600000000000002,0.2547,0.27449999999999997,0.2348,0.80943287
149,9000,-4500,0.2247224722472247,0.2473247324732473,0.3045304530453045,0.22342234223422341,0.840528783
150,13500,-4500,0.2073,0.2321,0.3299,0.23070000000000002,0.865091353
151,18000,-4500,0.1905,0.2202,0.3676,0.2217,0.88270416
152,22500,-4500,0.1703,0.20559999999999998,0.40380000000000005,0.22030000000000002,0.89110919
153,27000,-4500,0.16190000000000002,0.19039999999999999,0.4378,0.20989999999999998,0.890726653
154,31500,-4500,0.1524,0.1804,0.46659999999999996,0.2006,0.883451617
155,36000,-4500,0.1348,0.16140000000000002,0.5063,0.1975,0.871455847
156,40500,-4500,0.1386,0.1456,0.5321,0.1837,0.854097617
157,45000,-4500,0.1184,0.13119999999999998,0.5744,0.17600000000000002,0.840036407
158,-45000,0,0.41029999999999994,0.31679999999999997,0.06919999999999998,0.2037,0.444291127
159,-40500,0,0.3947,0.3193,0.0774,0.2086,0.47127059
160,-36000,0,0.375037503750375,0.3114311431143114,0.09000900090009,0.22352235223522351,0.50121408
161,-31500,0,0.36450000000000005,0.3049,0.10369999999999999,0.22690000000000002,0.533279137
162,-27000,0,0.3508,0.3028,0.1155,0.2309,0.568204473
163,-22500,0,0.3392,0.305,0.12380000000000001,0.23199999999999998,0.60447124
164,-18000,0,0.3182,0.2945,0.1472,0.2401,0.643294227
165,-13500,0,0.2987,0.282,0.17559999999999998,0.2437,0.68222204
166,-9000,0,0.28357164283571645,0.27987201279872015,0.18908109189081093,0.24747525247475255,0.723422857
167,-4500,0,0.2705270527052705,0.2693269326932693,0.21012101210121012,0.25002500250025,0.763654383
168,0,0,0.2616738326167384,0.24907509249075094,0.23767623237676233,0.25157484251574846,0.80215507
169,4500,0,0.2432,0.2378,0.2622,0.2568,0.836975847
170,9000,0,0.2302,0.2288,0.29100000000000004,0.25,0.865082953
171,13500,0,0.2068206820682068,0.21542154215421538,0.32813281328132815,0.2496249624962496,0.888319007
172,18000,0,0.1925,0.20600000000000002,0.35340000000000005,0.2481,0.904637437
173,22500,0,0.1851185118511851,0.19241924192419238,0.379037903790379,0.2434243424342434,0.913148323
174,27000,0,0.17300000000000001,0.17300000000000001,0.4249,0.2291,0.913414443
175,31500,0,0.1522,0.1661,0.4581,0.2236,0.906084787
176,36000,0,0.15331533153315333,0.15011501150115011,0.48124812481248125,0.21532153215321534,0.89423926
177,40500,0,0.1329,0.1429,0.5199,0.2043,0.8774638
178,45000,0,0.13358664133586642,0.11948805119488051,0.5553444655534447,0.19158084191580843,0.86275049
179,-45000,4500,0.41614161416141615,0.2972297229722972,0.06420642064206421,0.2224222422242224,0.470755327
180,-40500,4500,0.40869999999999995,0.29359999999999997,0.0737,0.22399999999999998,0.49916721
181,-36000,4500,0.3876612338766123,0.2924707529247075,0.0880911908809119,0.23177682231776817,0.530422607
182,-31500,4500,0.376,0.2841,0.1002,0.2397,0.564577083
183,-27000,4500,0.3538646135386461,0.2833716628337166,0.1146885311468853,0.2480751924807519,0.600209953
184,-22500,4500,0.3416341634163416,0.27112711271127116,0.12911291129112912,0.2581258125812581,0.63750496
185,-18000,4500,0.32439999999999997,0.2651,0.1442,0.2663,0.675725853
186,-13500,4500,0.3094690530946905,0.2609739026097391,0.16168383161683836,0.26787321267873215,0.715402347
187,-9000,4500,0.2995,0.2518,0.1814,0.2673,0.755504767
188,-4500,4500,0.2767,0.2451,0.2039,0.2743,0.79443793
189,0,4500,0.2622,0.2309,0.2309,0.276,0.830463867
190,4500,4500,0.2513,0.21860000000000002,0.26180000000000003,0.26830000000000004,0.862429597
191,9000,4500,0.23097690230976903,0.2173782621737826,0.283971602839716,0.2676732326767323,0.88864816
192,13500,4500,0.21419999999999997,0.1992,0.31649999999999995,0.27009999999999995,0.909538993
193,18000,4500,0.19421942194219421,0.1928192819281928,0.3482348234823482,0.2647264726472647,0.925074137
194,22500,4500,0.18,0.1723,0.3815,0.2662,0.93326864
195,27000,4500,0.17559999999999998,0.1664,0.4061,0.2519,0.934290067
196,31500,4500,0.15858414158584141,0.14758524147585242,0.44265573442655737,0.2511748825117488,0.928063603
197,36000,4500,0.1463,0.1418,0.47759999999999997,0.2343,0.91767056
198,40500,4500,0.13558644135586442,0.13558644135586442,0.5071492850714928,0.22167783221677834,0.901990527
199,45000,4500,0.13038696130386962,0.12008799120087991,0.5368463153684632,0.21267873212678734,0.890168837
200,-45000,9000,0.42415758424157585,0.27757224277572246,0.064993500649935,0.2332766723327667,0.500410377
201,-40500,9000,0.41715828417158285,0.26627337266273376,0.07199280071992802,0.24457554244575547,0.529505887
202,-36000,9000,0.39130000000000004,0.27,0.0859,0.2528,0.562152703
203,-31500,9000,0.38270000000000004,0.26899999999999996,0.0834,0.26489999999999997,0.596723187
204,-27000,9000,0.3608,0.2584,0.1076,0.2732,0.63360881
205,-22500,9000,0.3471652834716528,0.2617738226177382,0.11238876112388761,0.2786721327867213,0.671282687
206,-18000,9000,0.3319,0.24969999999999998,0.1376,0.2808,0.709342867
207,-13500,9000,0.31986801319868013,0.23567643235676436,0.15628437156284375,0.28817118288171184,0.74769054
208,-9000,9000,0.2953,0.2345,0.17980000000000002,0.2904,0.786605127
209,-4500,9000,0.27407259274072593,0.23087691230876914,0.19628037196280373,0.2987701229877012,0.823559847
210,0,9000,0.263,0.2148,0.22469999999999998,0.2975,0.856904933
211,4500,9000,0.24359999999999998,0.2005,0.25170000000000003,0.3042,0.886786317
212,9000,9000,0.22782278227822786,0.19411941194119414,0.27142714271427143,0.30663066306630665,0.911309707
213,13500,9000,0.2231,0.18460000000000001,0.3072,0.2851,0.930418453
214,18000,9000,0.19879999999999995,0.17689999999999997,0.33919999999999995,0.28509999999999996,0.94446123
215,22500,9000,0.1902,0.16870000000000002,0.3589,0.2822,0.95244321
216,27000,9000,0.1722,0.1517,0.3981,0.278,0.95454288
217,31500,9000,0.15771577157715772,0.14311431143114312,0.4341434143414341,0.26502650265026506,0.94980542
