ID,x,y,Ag,Au,Pd,Pt,Rh,Resistance
36,18000,-31500,0.1375,0.4359,0.1752,0.0398,0.2116,0.9633805066666666
37,22500,-31500,0.1266,0.4635,0.18719999999999998,0.0373,0.18539999999999998,0.9364251933333332
38,27000,-31500,0.1162,0.4803,0.1974,0.031200000000000002,0.17489999999999997,0.9067356866666666
39,31500,-31500,0.1092,0.5064,0.2022,0.027200000000000002,0.155,0.8792851266666666
40,-36000,-27000,0.3496699339867973,0.14802960592118422,0.06231246249249849,0.0735147029405881,0.36647329465893175,1.0427020333333334
41,-31500,-27000,0.3261,0.16519999999999999,0.0701,0.07150000000000001,0.3671,1.0419941
42,-27000,-27000,0.3169,0.182,0.0739,0.0746,0.35259999999999997,1.0410190666666663
43,-22500,-27000,0.2974,0.2007,0.09,0.0692,0.3427,1.0428261333333333
44,-18000,-27000,0.2750724927507249,0.22617738226177378,0.10298970102989699,0.068993100689931,0.32676732326767316,1.0387066333333332
45,-13500,-27000,0.2583,0.24710000000000001,0.1183,0.0687,0.30760000000000004,1.0356947666666667
46,-9000,-27000,0.24230000000000004,0.27570000000000006,0.12020000000000002,0.06490000000000001,0.29690000000000005,1.0311704666666666
47,-4500,-27000,0.2226,0.29779999999999995,0.13419999999999999,0.06339999999999998,0.282,1.0230796666666666
48,0,-27000,0.2061206120612061,0.3275327532753275,0.13561356135613561,0.0622062206220622,0.2685268526852685,1.0129034
49,4500,-27000,0.18170000000000003,0.35509999999999997,0.1536,0.0593,0.2503,0.99867414
50,9000,-27000,0.16899999999999996,0.38339999999999996,0.16219999999999996,0.05449999999999999,0.23089999999999997,0.9815846733333332
51,13500,-27000,0.1549154915491549,0.41034103410341033,0.1689168916891689,0.0479047904790479,0.2179217921792179,0.9610017833333332
52,18000,-27000,0.14188581141885812,0.4296570342965703,0.18958104189581043,0.045795420457954206,0.1930806919308069,0.93648183
53,22500,-27000,0.1285128512851285,0.44914491449144905,0.19671967196719672,0.0454045404540454,0.1802180218021802,0.9088715566666666
54,27000,-27000,0.1259,0.4757,0.2026,0.0391,0.1567,0.8784610133333334
55,31500,-27000,0.10529999999999999,0.48460000000000003,0.22039999999999998,0.035699999999999996,0.154,0.8467297033333333
56,36000,-27000,0.09440000000000001,0.513,0.22740000000000002,0.028600000000000004,0.13660000000000003,0.8207931199999999
57,-40500,-22500,0.3749374937493749,0.1294129412941294,0.0642064206420642,0.0735073507350735,0.3579357935793579,1.0340259333333333
58,-36000,-22500,0.3521647835216479,0.1401859814018598,0.07849215078492151,0.07989201079892012,0.3492650734926508,1.0300001
59,-31500,-22500,0.3412341234123412,0.1633163316331633,0.0837083708370837,0.07870787078707871,0.33303330333033304,1.0298272666666668
60,-27000,-22500,0.3239,0.18030000000000002,0.0897,0.07730000000000001,0.32880000000000004,1.0291031333333334
61,-22500,-22500,0.3031,0.20350000000000001,0.092,0.0735,0.32789999999999997,1.0275612
62,-18000,-22500,0.28240000000000004,0.22970000000000002,0.0952,0.08220000000000002,0.31050000000000005,1.024951333333333
63,-13500,-22500,0.2748,0.2469,0.1166,0.07150000000000001,0.2902,1.0207149666666666
64,-9000,-22500,0.2386,0.27399999999999997,0.1286,0.073,0.2858,1.014559633333333
65,-4500,-22500,0.2278,0.29460000000000003,0.1338,0.076,0.26780000000000004,1.0052492333333334
66,0,-22500,0.2086,0.32159999999999994,0.1502,0.0664,0.2532,0.9927470333333334
67,4500,-22500,0.19811981198119813,0.34823482348234824,0.16181618161816183,0.05960596059605961,0.23222322232223222,0.97747289
68,9000,-22500,0.1744,0.36939999999999995,0.17550000000000002,0.0637,0.217,0.9593959666666668
69,13500,-22500,0.159,0.40159999999999996,0.1802,0.0557,0.20350000000000001,0.9370757966666668
70,18000,-22500,0.1484851514848515,0.42205779422057793,0.1910808919108089,0.05699430056994301,0.1813818618138186,0.911933
71,22500,-22500,0.1418141814181418,0.4406440644064407,0.2006200620062006,0.05000500050005001,0.16691669166916695,0.8839715266666667
72,27000,-22500,0.13140000000000002,0.4568,0.2188,0.0473,0.1457,0.85374776
73,31500,-22500,0.1003,0.483,0.2271,0.0404,0.1492,0.8218815
74,36000,-22500,0.1002,0.5009,0.2389,0.0346,0.12539999999999998,0.7904012533333333
75,40500,-22500,0.08710000000000001,0.5225,0.2525,0.023799999999999998,0.11410000000000001,0.7865606666666667
76,-40500,-18000,0.38799999999999996,0.1288,0.0678,0.0803,0.33509999999999995,1.0206529333333334
77,-36000,-18000,0.3607,0.1409,0.0723,0.08810000000000001,0.33799999999999997,1.0214019333333333
78,-31500,-18000,0.35263526352635266,0.16161616161616163,0.08360836083608361,0.0854085408540854,0.31673167316731676,1.0183817666666666
79,-27000,-18000,0.3392,0.17149999999999999,0.08990000000000001,0.08650000000000001,0.3129,1.0171625333333334
80,-22500,-18000,0.3129,0.1977,0.11019999999999999,0.08439999999999999,0.2948,1.0153635333333333
81,-18000,-18000,0.29094181163767247,0.21905618876224753,0.10527894421115776,0.08498300339932013,0.2997400519896021,1.0114279333333334
82,-13500,-18000,0.2822,0.2433,0.1139,0.0834,0.2772,1.0063858666666667
83,-9000,-18000,0.2552,0.27269999999999994,0.12969999999999998,0.07789999999999998,0.26449999999999996,0.99849459
84,-4500,-18000,0.23690000000000005,0.28190000000000004,0.15000000000000002,0.0829,0.24830000000000002,0.98791077
85,0,-18000,0.2182781721827817,0.3174682531746825,0.1543845615438456,0.07479252074792521,0.23507649235076492,0.9745995433333332
86,4500,-18000,0.2034,0.34619999999999995,0.16620000000000001,0.0704,0.2138,0.95815178
87,9000,-18000,0.18211821182118212,0.365936593659366,0.17851785178517854,0.0671067106710671,0.20632063206320633,0.9384787866666666
88,13500,-18000,0.16558344165583438,0.3901609839016098,0.19348065193480649,0.06429357064293569,0.18648135186481346,0.9155149733333332
89,18000,-18000,0.1406,0.4177,0.2066,0.0635,0.1716,0.88974166
90,22500,-18000,0.1405140514051405,0.4269426942694269,0.22352235223522351,0.054005400540054004,0.155015501550155,0.8618277333333333
91,27000,-18000,0.1284,0.4507,0.231,0.0493,0.1406,0.8318794100000001
92,31500,-18000,0.11081108110811082,0.46304630463046303,0.24642464246424645,0.04110411041104111,0.13861386138613863,0.8006875633333334
93,36000,-18000,0.1052894710528947,0.48695130486951305,0.25137486251374863,0.039396060393960604,0.116988301169883,0.7690065399999999
94,40500,-18000,0.08449999999999999,0.5012,0.267,0.0341,0.11320000000000001,0.7418275166666667
95,-45000,-13500,0.4141414141414141,0.112011201120112,0.0627062706270627,0.08460846084608462,0.3265326532653265,1.0151661
96,-40500,-13500,0.3893,0.1265,0.0716,0.0906,0.322,1.0102056666666668
97,-36000,-13500,0.377,0.1365,0.0738,0.096,0.31670000000000004,1.0090759
98,-31500,-13500,0.363,0.1509,0.0958,0.09269999999999999,0.29760000000000003,1.0078422
99,-27000,-13500,0.3375,0.1744,0.0998,0.09519999999999999,0.29309999999999997,1.0061430666666666
