ID,x,y,Au,Pd,Pt,Rh,Resistance
196,31500,4500,0.4152,0.36450000000000005,0.105,0.1153,0.8417391266666667
197,36000,4500,0.41545845415458454,0.37986201379862017,0.10278972102789721,0.10188981101889812,0.8167245
198,40500,4500,0.41979999999999995,0.38689999999999997,0.0915,0.1018,0.7921139366666666
199,45000,4500,0.434043404340434,0.40224022402240217,0.0858085808580858,0.0779077907790779,0.7791740033333333
200,-45000,9000,0.1499,0.1527,0.2557,0.44170000000000004,1.0281829666666666
201,-40500,9000,0.15608439156084392,0.16568343165683433,0.26087391260873916,0.4173582641735827,1.0138337333333334
202,-36000,9000,0.16948305169483052,0.16518348165183483,0.26557344265573446,0.39976002399760024,1.0041908666666666
203,-31500,9000,0.1804,0.18359999999999999,0.2577,0.37829999999999997,0.9971225233333332
204,-27000,9000,0.19578042195780418,0.1980801919808019,0.2578742125787421,0.3482651734826517,0.99345988
205,-22500,9000,0.2108,0.2071,0.25,0.3321,0.99035364
206,-18000,9000,0.23260000000000003,0.23370000000000002,0.2372,0.2965,0.9880755833333332
207,-13500,9000,0.24477552244775524,0.25207479252074794,0.22917708229177086,0.273972602739726,0.9842879733333334
208,-9000,9000,0.2625,0.2546,0.2198,0.2631,0.9785592933333334
209,-4500,9000,0.2901,0.2726,0.2089,0.2284,0.9705311933333332
210,0,9000,0.2963,0.28800000000000003,0.2014,0.2143,0.9581470633333332
211,4500,9000,0.30983098309830986,0.3126312631263127,0.18591859185918594,0.19161916191619163,0.9440910533333332
212,9000,9000,0.335,0.3204,0.17809999999999998,0.16649999999999998,0.92807983
213,13500,9000,0.34646535346465357,0.3364663533646636,0.16548345165483455,0.15158484151584842,0.90935969
214,18000,9000,0.35409999999999997,0.34509999999999996,0.1518,0.149,0.8894676566666667
215,22500,9000,0.36840000000000006,0.3558,0.1399,0.1359,0.8675291033333334
216,27000,9000,0.3805380538053805,0.36993699369937,0.13091309130913092,0.1186118611861186,0.8465106133333333
217,31500,9000,0.39366063393660633,0.37976202379762025,0.12118788121187882,0.10538946105389461,0.8243372233333334
218,36000,9000,0.4003,0.3944,0.1101,0.09519999999999999,0.8012303566666666
219,40500,9000,0.41139999999999993,0.39979999999999993,0.10009999999999998,0.08869999999999997,0.7800734666666667
220,45000,9000,0.41509999999999997,0.41350000000000003,0.0941,0.07730000000000001,0.7740702966666666
221,-45000,13500,0.1458,0.16469999999999999,0.2814,0.4081,1.0243107666666666
222,-40500,13500,0.1575,0.1618,0.2862,0.3945,1.0065492333333332
223,-36000,13500,0.1681,0.1883,0.2779,0.3657,0.9967798166666668
224,-31500,13500,0.18,0.1917,0.2736,0.3547,0.98787605
225,-27000,13500,0.18831883188318832,0.20502050205020503,0.27962796279627966,0.3270327032703271,0.9842934733333332
226,-22500,13500,0.20162016201620162,0.2296229622962296,0.2646264626462646,0.3041304130413041,0.9790952233333332
227,-18000,13500,0.22452245224522452,0.23242324232423242,0.26042604260426044,0.2826282628262827,0.9744026333333332
228,-13500,13500,0.2335,0.2546,0.2488,0.2631,0.9695146466666666
229,-9000,13500,0.25377462253774624,0.26417358264173585,0.23677632236776325,0.24527547245275474,0.9628276766666668
230,-4500,13500,0.2699,0.2896,0.2255,0.215,0.9542372033333332
231,0,13500,0.2910708929107089,0.30026997300269975,0.21457854214578545,0.19408059194080593,0.9406795233333334
232,4500,13500,0.2985,0.3134,0.2047,0.1834,0.9246869366666668
233,9000,13500,0.3164683531646835,0.3319668033196681,0.18528147185281474,0.16628337166283372,0.9089485933333332
234,13500,13500,0.3298,0.3439,0.17739999999999997,0.1489,0.89016247
235,18000,13500,0.3456,0.35590000000000005,0.1679,0.1306,0.8706534766666666
236,22500,13500,0.3553355335533553,0.36703670367036706,0.1547154715471547,0.1229122912291229,0.8490800933333333
237,27000,13500,0.36596340365963403,0.3786621337866213,0.1466853314668533,0.1086891310868913,0.8284963366666667
238,31500,13500,0.3739,0.3926,0.1319,0.1016,0.8076578566666667
239,36000,13500,0.3864,0.4072,0.12279999999999999,0.0836,0.7878294266666667
240,40500,13500,0.39783978397839787,0.4158415841584158,0.10681068106810682,0.07950795079507951,0.7690085966666668
241,45000,13500,0.40090000000000003,0.42460000000000003,0.09789999999999999,0.0766,0.7964365966666667
242,-40500,18000,0.1508,0.1759,0.3075,0.36579999999999996,1.00155972
243,-36000,18000,0.1618,0.18510000000000001,0.3036,0.34950000000000003,0.9862702833333332
244,-31500,18000,0.17850000000000002,0.2053,0.2966,0.3196,0.9784780466666666
245,-27000,18000,0.17621762176217623,0.21802180218021805,0.29082908290829085,0.31493149314931496,0.9741882033333332
246,-22500,18000,0.1989,0.23190000000000002,0.2816,0.2876,0.9673267633333332
247,-18000,18000,0.21217878212178776,0.2511748825117488,0.2695730426957304,0.2670732926707329,0.9609735733333332
248,-13500,18000,0.2243,0.268,0.2646,0.24309999999999998,0.9545314333333332
249,-9000,18000,0.2445,0.2843,0.2572,0.214,0.9466380933333334
250,-4500,18000,0.2559,0.2943,0.24170000000000003,0.20809999999999998,0.93533746
251,0,18000,0.2725,0.31120000000000003,0.22920000000000001,0.18710000000000002,0.92118897
252,4500,18000,0.281,0.33149999999999996,0.222,0.1655,0.90625781
253,9000,18000,0.29899999999999993,0.3352,0.20569999999999997,0.1601,0.8909196366666666
254,13500,18000,0.31700000000000006,0.3537,0.19070000000000004,0.1386,0.8717262166666667
255,18000,18000,0.32310000000000005,0.37510000000000004,0.18050000000000002,0.12130000000000002,0.8527782766666667
256,22500,18000,0.3402,0.3777,0.1737,0.10839999999999998,0.83337195
257,27000,18000,0.34446555344465557,0.3942605739426058,0.15698430156984303,0.10428957104289571,0.81336014
258,31500,18000,0.35906409359064095,0.4091590840915909,0.14518548145185484,0.08659134086591341,0.7949228866666667
259,36000,18000,0.3746374637463747,0.41514151415141515,0.13071307130713072,0.07950795079507951,0.7764352266666666
260,40500,18000,0.3761,0.42950000000000005,0.1199,0.0745,0.7621000933333334
261,-40500,22500,0.14238576142385762,0.18248175182481752,0.3287671232876712,0.3463653634636536,0.99574391
262,-36000,22500,0.14878512148785122,0.20547945205479454,0.3288671132886712,0.3168683131686832,0.97969905
263,-31500,22500,0.16480000000000003,0.21150000000000002,0.3263000000000001,0.29740000000000005,0.97023784
264,-27000,22500,0.1783,0.22640000000000002,0.3136,0.2817,0.96377351
265,-22500,22500,0.1935,0.2346,0.305,0.2669,0.9559413133333332
266,-18000,22500,0.2043,0.2644,0.2914,0.23989999999999997,0.9484957566666666
267,-13500,22500,0.21547845215478456,0.2813718628137187,0.2813718628137187,0.22177782221777825,0.9403555166666668
268,-9000,22500,0.2304230423042304,0.28982898289828984,0.2745274527452745,0.20522052205220523,0.93110304
269,-4500,22500,0.2439,0.3119,0.2561,0.1881,0.9185411433333334
270,0,22500,0.2561,0.3306,0.24530000000000002,0.168,0.90544369
271,4500,22500,0.275,0.3343,0.2311,0.15960000000000002,0.8897683833333333
272,9000,22500,0.2843,0.3527,0.2236,0.1394,0.87309978
273,13500,22500,0.29750000000000004,0.3713000000000001,0.20570000000000002,0.12550000000000003,0.8560244266666667
274,18000,22500,0.3155,0.381,0.1935,0.11,0.8382453666666667
