x,y,R,I,V
-18000,18000,0.77701204,0.049998262,0.038849251
-13500,18000,0.812701487,0.049998253,0.040633655
-9000,18000,0.847512463,0.049998265,0.042374152
-4500,18000,0.879748133,0.049998258,0.043985874
0,18000,0.908839293,0.049998259,0.045440383
4500,18000,0.933460667,0.049998238,0.046671388
9000,18000,0.953426117,0.049998235,0.047669622
13500,18000,0.97030749,0.049998223,0.048513651
18000,18000,0.981891603,0.049998227,0.04909284
22500,18000,0.989044557,0.04999823,0.049450477
27000,18000,0.99242878,0.049998213,0.049619666
31500,18000,0.99207741,0.049998225,0.04960211
36000,18000,0.987997597,0.049998231,0.049398132
40500,18000,0.983288617,0.049998229,0.04916269
-40500,22500,0.637316767,0.049998236,0.031864715
-36000,22500,0.66951545,0.049998245,0.033474597
-31500,22500,0.70491775,0.049998267,0.035244666
-27000,22500,0.740646443,0.049998274,0.037031044
-22500,22500,0.776246297,0.04999826,0.038810965
-18000,22500,0.809683677,0.049998258,0.040482774
-13500,22500,0.843327043,0.04999824,0.042164868
-9000,22500,0.876586707,0.049998238,0.043827791
-4500,22500,0.906101407,0.049998246,0.045303482
0,22500,0.93237956,0.049998259,0.046617354
4500,22500,0.954759283,0.049998247,0.04773629
9000,22500,0.973248423,0.049998231,0.048660699
13500,22500,0.987742173,0.049998225,0.049385354
18000,22500,0.998936663,0.049998235,0.04994507
22500,22500,1.0059578,0.049998226,0.050296108
27000,22500,1.0103495,0.049998225,0.050515683
31500,22500,1.011950133,0.049998238,0.050595722
36000,22500,1.0112703,0.049998223,0.050561716
40500,22500,1.025303833,0.04999823,0.051263374
-36000,27000,0.708025857,0.049998267,0.035400065
-31500,27000,0.74149101,0.049998277,0.037073273
-27000,27000,0.776493097,0.049998277,0.038823318
-22500,27000,0.809902637,0.049998268,0.040493729
-18000,27000,0.842154947,0.04999825,0.042106273
-13500,27000,0.872950153,0.049998251,0.043645982
-9000,27000,0.90407891,0.049998241,0.045202355
-4500,27000,0.9306859,0.04999825,0.046532667
0,27000,0.954473117,0.049998246,0.047721982
4500,27000,0.975636127,0.049998219,0.048780068
9000,27000,0.991931973,0.049998221,0.049594834
13500,27000,1.004691,0.04999821,0.050232751
18000,27000,1.014948133,0.049998216,0.050745595
22500,27000,1.0212704,0.049998217,0.0510617
27000,27000,1.0271625,0.04999821,0.051356285
31500,27000,1.031143233,0.049998209,0.051555318
36000,27000,1.039957733,0.049998208,0.051996023
-31500,31500,0.782876303,0.04999826,0.039142454
-27000,31500,0.81230724,0.049998256,0.040613946
-22500,31500,0.843819907,0.049998257,0.042189526
-18000,31500,0.873337247,0.049998264,0.043665347
-13500,31500,0.90306975,0.049998245,0.045151903
-9000,31500,0.930315353,0.049998246,0.046514136
-4500,31500,0.95468099,0.049998246,0.047732375
0,31500,0.975842077,0.049998233,0.04879038
4500,31500,0.994280247,0.049998237,0.049712259
9000,31500,1.008369567,0.049998218,0.050416678
13500,31500,1.021183533,0.049998224,0.051057369
18000,31500,1.030484333,0.049998227,0.051522391
22500,31500,1.037751067,0.049998216,0.051885704
27000,31500,1.044555033,0.049998211,0.052225882
31500,31500,1.060890567,0.049998208,0.05304263
-27000,36000,0.849810237,0.049998263,0.042489036
-22500,36000,0.87696511,0.049998238,0.043846711
-18000,36000,0.90395027,0.049998241,0.045195924
-13500,36000,0.93123266,0.049998223,0.046559979
-9000,36000,0.955952597,0.049998223,0.047795931
-4500,36000,0.977315143,0.049998221,0.048864019
0,36000,0.99566229,0.049998209,0.049781333
4500,36000,1.012590933,0.049998209,0.05062773
9000,36000,1.0256493,0.049998199,0.051280617
13500,36000,1.036606967,0.049998199,0.05182848
18000,36000,1.0457034,0.049998206,0.052283294
22500,36000,1.0537613,0.049998197,0.052686164
27000,36000,1.0669499,0.049998206,0.05334558
-22500,40500,0.913584337,0.049998242,0.045677611
-18000,40500,0.935021573,0.049998237,0.046749431
-13500,40500,0.957722503,0.049998208,0.047884409
-9000,40500,0.980041933,0.049998208,0.049000341
-4500,40500,0.998488293,0.049998229,0.049922646
0,40500,1.014876867,0.049998215,0.050742036
4500,40500,1.0292768,0.049998216,0.051462004
9000,40500,1.041562033,0.04999821,0.052076236
13500,40500,1.051920133,0.049998203,0.052594116
18000,40500,1.063734567,0.049998208,0.053184815
22500,40500,1.082744933,0.049998207,0.054135305
-13500,45000,0.994214723,0.049998218,0.049708964
-9000,45000,1.008962567,0.049998218,0.050446328
-4500,45000,1.0228795,0.049998206,0.05114214
0,45000,1.0365873,0.049998196,0.051827495
4500,45000,1.0502007,0.049998207,0.052508153
9000,45000,1.063767833,0.0499982,0.053186478
13500,45000,1.085395133,0.049998205,0.054267808
